PROCESSID	TAXON	MARKER	GENBANK_ACCESSION	TRACEFILE
ABBAI447-15	Glottidia	16S		ABBAI/0168844028-02R+1500044907.ab1
ABBAI447-15	Glottidia	COI-5P		ABBAI/0168844028-01R+1473766718.ab1
ABBAI447-15	Glottidia	COI-5P		ABBAI/0168844028-01F+1473760260.ab1
ABBAI447-15	Glottidia	18S		ABBAI/0168844028-03F+1523017322.ab1
ABBAI589-16	Glottidia	18S		ABBAI/0199442374-03R+1523017322.ab1
ABBAI589-16	Glottidia	16S		ABBAI/0199442374-02R+1500923916.ab1
ABBAI589-16	Glottidia	16S		ABBAI/0199442374-02F+1500917464.ab1
ABBAI589-16	Glottidia	COI-5P		ABBAI/0199442374-01F+1459270196.ab1
ABBAI589-16	Glottidia	COI-5P		ABBAI/0199442374-01R+1459283086.ab1
ABBAI589-16	Glottidia	18S		ABBAI/0199442374-03F+1523017322.ab1
ABBAI590-16	Glottidia	COI-5P		ABBAI/0199442353-01F+1459270196.ab1
ABBAI590-16	Glottidia	COI-5P		ABBAI/0199442353-01R+1459283086.ab1
ABBAI590-16	Glottidia	16S		ABBAI/0199442353-02F+1500917464.ab1
DSECH074-07	Hemithiris psittacea	COI-5P		SANOA/DSECH074-07~F1_1+1180698974.ab1
DUTCH701-19	Hemithiris psittacea	COI-5P		DUTCH/A10_1523715_Hemithiris_psittacea_jgRevrev+1556908172.ab1
DUTCH701-19	Hemithiris psittacea	COI-5P		DUTCH/A10_1523715_Hemithiris_psittacea_jgFwdfwd+1556914715.ab1
ECHCA074-18	Brachiopoda	COI-5P		ECHCA/ECHCA074-18[EchinoF1,HCO2198]_R+1531505890.ab1
ECHCA074-18	Brachiopoda	COI-5P		ECHCA/ECHCA074-18[EchinoF1,HCO2198]_F+1531766537.ab1
KANBI598-19	Lingula reevei	COI-5P		KANBI/BKON_0853_jgHCO2198_B05+1549318689.ab1
KANBI598-19	Lingula reevei	COI-5P		KANBI/BKON_0853_jgLCO1490_B05+1549313224.ab1
LABBI076-09	Hemithiris	COI-5P		LABBI/LABBI076-09[LCO1490_t1,HCO2198_t1]_R+1248800947.ab1
LABBI076-09	Hemithiris	COI-5P		LABBI/LABBI076-09[LCO1490_t1,HCO2198_t1]_F+1248794777.ab1
NNMX092-08	Hemithiris	COI-5P		NNMX/NNMX092-08_F+1220689803.ab1
NNMX092-08	Hemithiris	COI-5P		NNMX/NNMX092-08_R+1220695276.ab1
NNMX092-08	Hemithiris	COI-5P		NNMX/NNMX092-08[LCO1490_t1,MLepR1]_F+1258126791.ab1
NNMX092-08	Hemithiris	COI-5P		NNMX/NNMX092-08[LCO1490_t1,MLepR1]_R+1258130468.ab1
OPQCS127-10	Terebratalia transversa	COI-5P		OPQCS/OPQCS127-10~R1+1285856437.ab1
OPQCS127-10	Terebratalia transversa	COI-5P		OPQCS/OPQCS127-10~F1+1285850342.ab1
OPQCS128-10	Terebratalia transversa	COI-5P		OPQCS/OPQCS128-10~F1+1285850342.ab1
OPQCS128-10	Terebratalia transversa	COI-5P		OPQCS/OPQCS128-10~R1+1285856437.ab1

ABBAI1141-16	Glottidia	16S		ABBAI/0199441956-02R+1500923916.ab1
ABBAI1141-16	Glottidia	COI-5P		ABBAI/0199441956-01F+1459270196.ab1
ABBAI1141-16	Glottidia	COI-5P		ABBAI/0199441956-01R+1459283086.ab1
ABBAI1141-16	Glottidia	18S		ABBAI/0199441956-03F+1523017322.ab1
ABBAI1141-16	Glottidia	16S		ABBAI/0199441956-02F+1500917464.ab1
ABBAI1141-16	Glottidia	18S		ABBAI/0199441956-03R+1523017322.ab1
ABBAI1252-16	Glottidia	COI-5P		ABBAI/0199442401-01F+1459270196.ab1
ABBAI1252-16	Glottidia	16S		ABBAI/0199442401-02R+1500923916.ab1
ABBAI1252-16	Glottidia	16S		ABBAI/0199442401-02F+1500917464.ab1
ABBAI1252-16	Glottidia	18S		ABBAI/0199442401-03R+1523017322.ab1
ABBAI1252-16	Glottidia	COI-5P		ABBAI/0199442401-01R+1459283086.ab1
ABBAI1253-16	Glottidia	COI-5P		ABBAI/0199442493-01F+1459270196.ab1
ABBAI1253-16	Glottidia	16S		ABBAI/0199442493-02R+1500923916.ab1
ABBAI1253-16	Glottidia	16S		ABBAI/0199442493-02F+1500917464.ab1
ABBAI1253-16	Glottidia	18S		ABBAI/0199442493-03R+1523017322.ab1
ABBAI1253-16	Glottidia	18S		ABBAI/0199442493-03F+1523017322.ab1
ABBAI1253-16	Glottidia	COI-5P		ABBAI/0199442493-01R+1459283086.ab1
ABBAI1386-16	Discinidae	18S		ABBAI/0199442694-03R+1508972485.ab1
ABBAI1386-16	Discinidae	18S		ABBAI/0199442694-03F+1508965942.ab1
ABBAI1388-16	Discinidae	18S		ABBAI/0199442767-03F+1508965942.ab1
ABBAI1486-16	Discinidae	18S		ABBAI/0181851435-03F+1508965942.ab1
